_id__$oid,last_modified__$date,delivery_lat,assigned_delivery_boy_id,trash,created_at__$date,delivery_lon,outlet_id,order_status,status,order_id,order_status_id,preparation_time,committed_time,eta,time_of_delivery,arrival_time_duration,delivery_boy_assigning_time__$date,actual_preparaed_time,pickup_time,approve_time,reaching_time__$date,arrival_time__$date,outlet_distance_from_delivery_person,assigning_lat_lon__001,assigning_lat_lon__002,destination_km_distance,destination_journey_duration,total_distance_travel_for_delivery
5f378adfe8c6c223f9ed5fe6,2020-08-15T13:17:21.190Z,22.5051403,28,0,2020-08-15T12:42:31.753Z,88.3839999,108,null,delivery boy assigned,125,null,20 minutes,1:08 PM,1:08 PM,,15 mins,2020-08-15T12:42:38.063Z,12:57 PM,,,,,,,,,,
5f379b730eb37da7f701892c,2020-08-15T14:04:40.334Z,22.505823,27,0,2020-08-15T13:53:15.338Z,88.3639996,100,null,delivery boy assigned,127,null,20 minutes,2:12 PM,2:12 PM,,8 mins,2020-08-15T13:53:22.219Z,,,,,,,,,,,
5f37b8feaa275792ceb18182,2020-08-15T16:35:26.878Z,22.5033546,27,0,2020-08-15T15:59:18.897Z,88.3956059,82,delivered,delivery boy assigned,130,6,20 minutes,4:10 PM,4:10 PM,4:35 PM,5 mins,2020-08-15T15:59:25.719Z,4:15 PM,4:25 PM,,,,,,,,,
5f37a1d3cb1d5740c6006af7,2020-08-15T14:56:18.307Z,22.505823,4,0,2020-08-15T14:20:27.961Z,88.3639996,100,delivered,delivery boy assigned,129,6,20 minutes,2:37 PM,2:37 PM,2:56 PM,6 mins,2020-08-15T14:20:34.861Z,2:37 PM,2:37 PM,,,,,,,,,
5f37e1a95cd6fe2c02595755,2020-08-15T19:43:56.466Z,22.501925,4,0,2020-08-15T18:52:49.222Z,88.397516,90,delivered,delivery boy assigned,133,6,20 minutes,7:00 PM,7:00 PM,7:43 PM,4 mins,2020-08-15T18:52:56.342Z,7:27 PM,7:27 PM,,,,,,,,,
5f37e59a4bb199b9cc793653,2020-08-15T19:12:13.658Z,22.5840274,None,0,2020-08-15T19:09:38.140Z,88.4260083,3,prepared,New,134,4,20 minutes,,,,,,7:12 PM,,,,,,,,,,
5f37db4f10ada6dae9e25f13,2020-08-15T18:48:57.253Z,22.5022222,27,0,2020-08-15T18:25:43.430Z,88.3968118,90,delivered,delivery boy assigned,132,6,20 minutes,6:33 PM,6:33 PM,6:48 PM,4 mins,2020-08-15T18:25:50.447Z,6:46 PM,6:47 PM,,,,,,,,,
5f37e6929caeedac526ef083,2020-08-15T19:29:20.012Z,22.5001139,27,0,2020-08-15T19:13:46.046Z,88.3749369,90,delivered,delivery boy assigned,135,6,20 minutes,7:22 PM,7:22 PM,7:29 PM,4 mins,2020-08-15T19:13:53.155Z,7:27 PM,7:28 PM,,,,,,,,,
5f37e92c81a85c574f544c27,2020-08-15T19:24:52.558Z,22.5840274,None,0,2020-08-15T19:24:52.558Z,88.4260083,3,approved,New,136,2,20 minutes,,,,,,,,,,,,,,,,
5f37f9dff0d6387c719c76aa,2020-08-15T20:36:07.188Z,22.5841054,None,0,2020-08-15T20:36:07.188Z,88.4262028,3,approved,New,140,2,10 minutes,,,,,,,,,,,,,,,,
5f37f9e5a9b79e8ee6a203ba,2020-08-15T20:36:13.246Z,22.5841054,None,0,2020-08-15T20:36:13.246Z,88.4262028,3,approved,New,138,2,10 minutes,,,,,,,,,,,,,,,,
5f37f26071d5e05ed1c3c98f,2020-08-15T20:47:29.649Z,22.508429,25,0,2020-08-15T20:04:08.195Z,88.2994639,7,delivered,delivery boy assigned,137,6,20 minutes,8:27 PM,8:27 PM,8:47 PM,14 mins,2020-08-15T20:04:15.358Z,8:04 PM,8:28 PM,,,,,,,,,
5f37f9e210ada6dae9e25f14,2020-08-15T21:26:35.603Z,22.5841054,5,0,2020-08-15T20:36:10.311Z,88.4262028,3,approved,delivery boy assigned,139,2,10 minutes,8:40 PM,8:40 PM,,2 hours 56 mins,2020-08-15T21:26:34.255Z,,,,,,,,,,,
5f37f9e81291dfb1e61a5614,2020-08-15T20:36:16.127Z,22.5826731,None,0,2020-08-15T20:36:16.127Z,88.4190199,3,approved,New,121,2,20 minutes,,,,,,,,,,,,,,,,
5f37f9ec79d5546f1dde8ef2,2020-08-15T20:36:20.297Z,22.585257,None,0,2020-08-15T20:36:20.297Z,88.422437,3,approved,New,120,2,10 minutes,,,,,,,,,,,,,,,,
5f38eb7e6d9bee6488b3483d,2020-08-16T14:52:54.998Z,22.4882302,27,0,2020-08-16T13:47:02.395Z,88.365664,62,delivered,delivery boy assigned,145,6,20 minutes,2:17 PM,2:17 PM,2:52 PM,9 mins,2020-08-16T13:47:09.072Z,1:47 PM,2:29 PM,,,,,,,,,
